Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
2/1/2020,15,16,19,29,44,55,60,61,61,64,73,58,64,67,64,60,68,63,53,55,66,44,44,23
2/2/2020,18,19,22,24,37,53,58,64,52,67,67,52,65,60,60,62,58,65,58,58,57,38,30,22
2/3/2020,13,19,24,31,46,57,58,58,61,71,53,60,64,65,67,52,55,61,58,57,52,39,28,20
2/4/2020,17,14,23,40,58,58,65,61,62,60,62,72,65,66,57,59,60,67,67,58,45,40,24,20
2/5/2020,14,21,21,41,49,63,58,72,67,67,66,53,60,64,62,64,59,68,60,65,49,36,25,24
2/6/2020,13,20,27,35,48,50,55,66,64,73,64,64,61,61,63,58,56,68,61,62,47,22,25,27
2/7/2020,24,23,22,33,58,70,57,61,65,65,63,61,70,64,63,63,56,53,53,65,52,40,34,26
2/8/2020,17,21,17,21,41,56,54,58,67,60,64,57,64,59,65,52,55,47,56,55,53,37,37,27
2/9/2020,13,16,17,21,40,65,55,59,63,59,61,69,64,50,61,57,63,59,61,55,52,36,24,18
2/10/2020,16,17,22,34,52,50,62,60,58,58,66,57,59,67,71,62,62,56,75,58,51,37,24,21
2/11/2020,18,12,28,31,53,58,72,64,70,70,71,67,60,61,60,61,63,65,71,57,45,35,32,21
2/12/2020,16,20,20,37,55,69,62,55,59,56,62,65,61,60,57,64,63,60,60,65,56,36,18,17
2/13/2020,17,24,25,39,44,63,65,65,59,61,57,57,56,60,66,58,52,59,54,59,44,42,20,19
2/14/2020,13,13,26,35,62,63,56,65,63,65,59,65,68,51,56,51,58,61,48,50,49,39,32,28
2/15/2020,22,16,23,24,30,52,66,62,62,61,64,63,61,68,70,61,60,63,60,57,54,41,39,27
2/16/2020,15,14,19,22,35,59,59,56,65,75,72,70,64,65,57,58,66,57,64,57,42,37,34,30
2/17/2020,14,15,14,34,39,57,58,65,59,54,59,60,63,72,55,60,61,69,63,49,46,30,25,22
2/18/2020,14,19,25,30,50,58,69,69,73,64,56,65,59,59,73,60,60,59,70,59,47,38,27,23
2/19/2020,18,17,25,38,44,58,61,61,59,58,64,56,54,63,69,69,60,69,64,68,54,46,27,23
2/20/2020,17,15,20,38,50,57,60,51,61,66,65,68,65,66,55,57,59,57,68,61,42,32,23,18
2/21/2020,18,14,21,39,52,62,69,61,64,70,59,64,69,57,59,64,62,58,58,50,49,29,31,26
2/22/2020,16,13,21,24,36,42,63,68,56,69,57,56,54,62,69,62,56,54,54,54,47,41,29,25
2/23/2020,22,17,18,24,35,55,62,68,66,71,73,68,53,66,60,56,61,63,59,56,50,33,19,22
2/24/2020,20,18,26,43,48,55,55,63,63,69,68,68,66,62,59,64,70,62,64,63,43,34,25,14
2/25/2020,18,18,20,33,48,64,68,69,66,68,57,64,61,67,66,70,58,60,68,63,49,28,23,22
2/26/2020,16,19,23,45,49,61,74,62,59,64,66,64,69,67,61,56,66,72,63,65,47,44,28,23
2/27/2020,13,20,24,38,55,54,65,58,56,60,60,62,67,59,58,58,60,59,56,56,42,35,27,24
2/28/2020,13,17,20,37,48,61,67,63,67,72,67,63,58,63,69,71,68,62,63,61,46,36,25,19
2/29/2020,16,14,20,29,41,52,59,65,67,71,62,64,61,58,62,69,61,59,50,51,46,40,27,26
