month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
july 2020,17.838709677419356,17.129032258064516,20.35483870967742,32.774193548387096,46.193548387096776,57.45161290322581,61.61290322580645,63.12903225806452,62.645161290322584,61.645161290322584,63.516129032258064,63.774193548387096,62.32258064516129,64.29032258064517,62.806451612903224,62.74193548387097,63.29032258064516,65.03225806451613,67,60.483870967741936,47.96774193548387,38.61290322580645,28.677419354838708,22.032258064516128
june 2020,18.06896551724138,18.103448275862068,21.75862068965517,34.206896551724135,46.10344827586207,59.310344827586206,63.37931034482759,63.310344827586206,63.86206896551724,63.10344827586207,64.06896551724138,64.06896551724138,62.89655172413793,64.10344827586206,64.6896551724138,64.3103448275862,66.17241379310344,67.17241379310344,68.62068965517241,62.3448275862069,50,37.275862068965516,28.20689655172414,23.03448275862069
may 2020,17.64516129032258,16.35483870967742,19.967741935483872,31.774193548387096,45,55.935483870967744,62.774193548387096,66.83870967741936,66.25806451612904,67.35483870967742,66.09677419354838,66.3225806451613,69.12903225806451,70.2258064516129,68.06451612903226,68,70.87096774193549,73.48387096774194,73.90322580645162,66.70967741935483,53.32258064516129,39.96774193548387,29.258064516129032,23.93548387096774
april 2020,22.586206896551722,20.93103448275862,23.103448275862068,31.17241379310345,43.62068965517241,57.310344827586206,63.44827586206897,65.17241379310344,70.89655172413794,70.6896551724138,73.10344827586206,72.03448275862068,71.96551724137932,71.93103448275862,72.72413793103448,69.72413793103448,72.55172413793103,74.06896551724138,71.86206896551724,66.03448275862068,53.724137931034484,41.58620689655172,31.862068965517242,29.24137931034483
march 2020,19.233333333333334,19.466666666666665,22.8,32.3,46.5,57.7,64.93333333333334,64.73333333333333,68.56666666666666,69.53333333333333,69.5,67.16666666666667,68.13333333333334,67.5,67.56666666666666,68.06666666666666,67.7,69.73333333333333,67.66666666666667,62.266666666666666,51.53333333333333,38.63333333333333,27.6,23.433333333333334
february 2020,16.413793103448278,17.275862068965516,21.79310344827586,32.724137931034484,46.44827586206897,57.827586206896555,61.793103448275865,62.41379310344828,62.55172413793103,65.10344827586206,63.3448275862069,62.48275862068966,62.241379310344826,62.37931034482759,62.55172413793103,60.62068965517241,60.55172413793103,61.206896551724135,60.6551724137931,58.241379310344826,49.03448275862069,36.724137931034484,27.79310344827586,22.655172413793103
january 2020,19.419354838709676,18.451612903225808,22.419354838709676,30.193548387096776,43.87096774193548,54.25806451612903,62.74193548387097,61.193548387096776,61.41935483870968,62.29032258064516,60.645161290322584,62.12903225806452,62,61.774193548387096,61.45161290322581,60.806451612903224,58.645161290322584,60.193548387096776,62.03225806451613,59.70967741935484,49.61290322580645,37.483870967741936,27.612903225806452,23.483870967741936
december 2019,17.225806451612904,18.129032258064516,22.322580645161292,31.70967741935484,44.096774193548384,56.83870967741935,58.61290322580645,59.87096774193548,61.225806451612904,61.70967741935484,62.193548387096776,60.74193548387097,61.29032258064516,60.67741935483871,61.45161290322581,59.483870967741936,56.67741935483871,59.903225806451616,61.70967741935484,58.483870967741936,48.54838709677419,39.54838709677419,29.548387096774192,23.870967741935484
november 2019,15.966666666666667,18.6,23.5,33.43333333333333,46.46666666666667,55.166666666666664,57.4,57.63333333333333,58.8,59.56666666666667,58.833333333333336,58.166666666666664,57.8,59.43333333333333,57.4,56.3,54.9,57.86666666666667,59.5,56.43333333333333,45,36.36666666666667,26.833333333333332,21.3
october 2019,16.870967741935484,15.838709677419354,21.677419354838708,32,45.645161290322584,55.87096774193548,60.12903225806452,59.87096774193548,59.12903225806452,59.38709677419355,60.29032258064516,60.38709677419355,60.096774193548384,61.354838709677416,61.67741935483871,59.354838709677416,59.03225806451613,61.25806451612903,61,59.064516129032256,49.16129032258065,36.516129032258064,25.258064516129032,20.29032258064516
september 2019,17.310344827586206,16.93103448275862,22.689655172413794,34.310344827586206,48.86206896551724,57.206896551724135,61.172413793103445,60.51724137931034,62.41379310344828,62.6551724137931,61.96551724137931,62.13793103448276,62.03448275862069,63.37931034482759,63.62068965517241,60.96551724137931,59.724137931034484,62.13793103448276,61,58.89655172413793,47.758620689655174,35.275862068965516,27,20.75862068965517
august 2019,17.307692307692307,16.923076923076923,23.26923076923077,34.84615384615385,46.03846153846154,56.92307692307692,62.46153846153846,62.30769230769231,62.96153846153846,65.42307692307692,62.57692307692308,60.73076923076923,62.92307692307692,62.5,62.19230769230769,61.88461538461539,60.69230769230769,59.73076923076923,62.92307692307692,61.26923076923077,52.07692307692308,38.26923076923077,26.692307692307693,22.076923076923077
july 2019,17.322580645161292,17.387096774193548,23.225806451612904,35.806451612903224,46.87096774193548,57.935483870967744,62.03225806451613,60.45161290322581,63.25806451612903,63.96774193548387,63.83870967741935,62.03225806451613,64.16129032258064,65.29032258064517,63.29032258064516,62.516129032258064,61.064516129032256,63.774193548387096,63.774193548387096,61.29032258064516,49.516129032258064,35.25806451612903,26.096774193548388,21.548387096774192
